名稱,股票代號,交易所
A&D,,
ABB,ABB,NYSE
ABB Group,,
AGY Holding Corp,,
ANSYS,ANSS,NASDAQ
AT&T,T,NYSE
AWS,,
Adidas,ADDYY,OTC
Advantest,6857.T,TSE
Affymetrix,,
Airbnb,ABNB,NASDAQ
Akamai Technologies,,
Angelicoussis Shipping Group,,
Ant Group,,
Anthropic,,Private
Arrow Electronics,,
Asklepios,,
Atmel,,
BAE System,,
Basic-fit,,
Benchmark,,
Bucher Industries AG,,
Bunge,,
CHS,,
CITIZEN,,
CVS Health Corporation,,
Canon,7751.T,TSE
Classpass,,
Cloudflare,,
Coinbase,COIN,NASDAQ
Coinbase Ventures,,
Comcast,,
ComplyAdvantage,,
Control4,,
Creative Artists Agency,,
CrowdStrike,CRWD,NASDAQ
Cube,,
DePuy Synthes,,
Deloitte,,
Deloitte Consulting LLP,,
Dematic,,
Depuy,,
Dropbox,DBX,NASDAQ
EMC,,
ENEOS控股株式會社,,
EVGA,,
Eaton Corporation Plc,ETN,NYSE
Entrust,,
Ericsson,ERIC,NASDAQ
Eventbrite,,
Excelitas  Technologies,,
Excelitas Technologies,,
Excelsports Management,,
Extreme Networks,,
Fidor Bank,,
First Data,,
Fiserv,,
FootLocker,,
Fortinet,FTNT,NASDAQ
GE Healthcare,,
GEA Group,,
Golden Ocean Group,,
Golden Union,,
Google,GOOGL,NASDAQ
HCA,,
HITACHI-LG DATA STORAGE,,
HPE,HPE,NYSE
Hexagon AB,,
Hitachi Vantara,,
Honeywell,HON,NASDAQ
IBIDEN,,
IHH Healthcare Bhd,,
Imagination,,Private
Imperva,,
Ingram Micro Holding Corporation,,
Integer Holdings  Corporation,,
Integer Holdings Corporation,,
Intersport,,
JBS,,
JSR株式會社,,
JX日鑛日石金屬株式會社(JX控股),,
JX金屬,,
KPMG,,
Kaneka,,
Karex Bhd,,
Kobo,,
Kontron,,
Kraft Heinz Company,,
L&F,,
LB Lusem,,
LG,066570.KS,KRX
LG化學,051910.KS,KRX
LG顯示,034220.KS,KRX
Lake Region Medical,,
Lemonade,,
Lusem,,
MAZAK,,
MLB,,
Mandiant,,
McKesson,,
MedSource,,
Meta,META,NASDAQ
Meta Quest,,
Minebea,,
Mobileye,MBLY,NASDAQ
Monster Worldwide,,
Monzo,,
NBA,,
NCR Voyix,,
NHL,,
Nanogen,,
Napier,,
Nasdaq,NDAQ,NASDAQ
Nice Actimize,,
Nike,NKE,NYSE
Nokia Network,NOK,NYSE
NuBank,,
Okta,OKTA,NASDAQ
OpenAI,,Private
PI Advanced Materials,,
PMC-Sierra,,
PTC,PTC,NASDAQ
Palantir,PLTR,NYSE
Palo Alto Networks,PANW,NASDAQ
Paypal,PYPL,NASDAQ
Phillips-Medisize,,
Phoenix,,
Puma,PUMSY,OTC
RSA Security,,
Radiant,,
Radysis,,
Resonac,,
Robinhood,HOOD,NASDAQ
SAS,,Private
SK microworks America,,
SKC Hi-Tech & Marketing,,
SKC KOLON PI,,
SK海力士,000660.KS,KRX
SPX Flow,,
Saurer Group,,
Schuler,,
Shinwha,,
Smart Modular Technologies,,
Smith & Nephew,,
Splunk,,Acquired
Star Bulk Carriers,,
Starling,,
Stripe,,Private
Stubhub,,
Subway,,Private
Sumitomo Bakelite,,
Supermicro,,
Synaptics,,
TD Ameritrade,,
TD SYNNEX,,
TDK Electronics,6762.T,TSE
TE Connectivity,TEL,NYSE
THK,,
Tata,,
Teradata,TDC,NYSE
Thermo Fisher Scientific,TMO,NYSE
TruNarrative,,
Trumpf,,
VMware,VMW,NYSE
VisionTek,,
WISE,,
WONDERCORE,,
Walmart,WMT,NYSE
Wasserman,,
WeFox,,
Yelp,,
Youtube,,
Zscaler,ZS,NASDAQ
anytime fitness,,
damai.cn,,
dm,,
eTORO,,
fitbit,,
lifefitness,,
peloton,,
planet fitness,,
technogym,,
七彩虹集团,,
三井金屬,,
三井高科技,,
三安光電,,
三星SDI,006400.KS,KRX
三星半導體,005930.KS,KRX
三星電子,005930.KS,KRX
三星顯示,005930.KS,KRX
三星顯示器,,
三菱化學控股,,
三菱瓦斯化學,,
三菱重工,7011.T,TSE
三菱電機,6503.T,TSE
三電,,
上海醫藥集團,,
中國中藥,,
中國移動,,
中國聯合鋼鐵網,,
中國鐵路總公司,,
中興,0763.HK,HKEX
中芯國際,0981.HK,HKEX
中遠海運散貨運輸有限公司,,
中遠海運集裝箱運輸有限公司,,
亞德諾半導體,ADI,NASDAQ
亞馬遜,AMZN,NASDAQ
亞馬遜網路服務公司,AMZN,NASDAQ
京東方,000725.SZ,SZSE
京瓷,6971.T,TSE
住友化學,,
住友金屬礦山,,
住友電氣工業,,
信越化學,4063.T,TSE
偉創力,,
健安喜,,
億創理財,,
優比速公司,UPS,NYSE
優貝克集團,,
克拉斯,,
凌拓科技,,
凱斯,,
凸版印刷,,
利樂,,
勞勃·博世公司,,
勤美達國際,,
勤達睿,,
北京中聯鋼電子商務,,
北京卡路里科技,,
匯頂科技,603160.SS,SSE
南韓永豐集團,,
博世力士樂,,
博思艾倫漢密爾頓控股公司,,
博通,AVGO,NASDAQ
印孚瑟斯,,
印福思,,
古河電氣工業,,
可口可樂,KO,NYSE
史賽克,SYK,NYSE
吉鑫科技,,
品質集團,,
哈伯斯,,
喜星電子,,
嘉吉公司,,
嘉年華郵輪集團,,
國大藥房,,
國際商業機器股份有限公司,,
地中海航運公司,,
埃森哲,,
塔塔,,
大日本印刷,,
大福,,
大金,6367.T,TSE
天水華天,,
太陽誘電,6976.T,TSE
奇異,,
奧寶科技,,
威普羅,,
威訊通訊,VZ,NYSE
威騰電子,,
嬌生,JNJ,NYSE
安士克精密,,
安富利,,
安捷倫科技,A,NYSE
安海斯-布希英博集團,,
安華高科技,AVGO,NASDAQ
安謀,ARM,NASDAQ
安費諾,,
安迅資訊,,
安麗,,
富士軟片,,
富士電機,6504.T,TSE
富智康,,
小松製作所,6301.T,TSE
尼康株式會社,7731.T,TSE
山德士,,
巧新科技工業,,
巴可,,
巴斯夫,,
巴諾書店,,
希捷科技,,
幣安,,Private
康達智,,
廣州醫藥集團,,
建滔化工,,
強鹿,,
得偉史坦萊,,
微軟,MSFT,NASDAQ
德國鐵路股份公司,,
德州儀器,TXN,NASDAQ
德迅,DSDVY,OTC
德鐵信可,,
快桅,,
思愛普,SAP,NYSE
思科系統,CSCO,NASDAQ
恆天然乳品,,
恩智浦半導體,NXPI,NASDAQ
恵和株式會社,,
惠普,HPQ,NYSE
意法半導體,STM,NYSE
意達,,
愛爾康,,
愛特梅爾,,
愛生雅,,
慧榮科技股份有限公司,SIMO,NASDAQ
應用材料,AMAT,NASDAQ
戴爾,DELL,NYSE
拜耳,BAYRY,OTC
挪威集團,,
捷普,,
捷邁醫療器材,,
攀時,,
支付寶,,Private
斗山集團,,
新光電氣,,
新帝公司,,
新思科技,SNPS,NASDAQ
新日鐵住金化學,,
施耐德電機公司,,
日亞化,,Private
日本旗勝,,
日本東麗杜邦株式會社,,
日本特殊陶業株式會社,,
日本製鐵,,
日東紡,,
日立,6501.T,TSE
日立數據系統,,
日立樂金,,
旭化成化學株式會社,,
明尼蘇達礦業與製造公司,,
易格斯,,
昭和電工材料,,
普睿司曼,,
普萊克斯,,
村田製作所,6981.T,TSE
杜邦,,
東京応化工業株式会社,,
東京電力,9501.T,TSE
東進,,
東電化,,
松下電器,6752.T,TSE
松下電工,,
林德集团,,
柏朗,,
柏能集團,,
柯惠醫療,,
格力,,
格科微電子,,
格羅方德,GFS,NASDAQ
梯瓦製藥工業有限公司,,
森精機,,
樂金化學,,
歐司朗,,
歐姆龍,6645.T,TSE
歐文邁諾,,
歐特克,ADSK,NASDAQ
比亞迪,1211.HK,HKEX
江蘇吉鑫風能,,
沃爾格林,,
泰森食品,,
洋基運通,,
洛克威爾自動化,ROK,NYSE
派特森,,
海康威視,002415.SZ,SZSE
海思半導體,,Private
液化空氣集團,,
深圳普聯技術,,
漢瑞祥,,
瀋陽機床集團,,
牧田日本,6586.T,TSE
特斯拉,TSLA,NASDAQ
瑞薩電子,6723.T,TSE
環球韋爾,,
甲骨文,ORCL,NYSE
百事公司,PEP,NASDAQ
百勝餐飲集團,,
百靈,,
皇家加勒比海郵遊輪公司,,
益能達株式會社,,
益華,CDNS,NASDAQ
眾安,6060.HK,HKEX
瞻博網路,,
磐時,,
科林研發,LRCX,NASDAQ
科磊,KLAC,NASDAQ
立達,,
立鎧,,
米蘭製藥,,
精工愛普生,6724.T,TSE
索尼,6758.T,TSE
紫光,,
維布絡,,
網飛,NFLX,NASDAQ
羅氏大藥廠,RHHBY,OTC
羅賓遜全球物流有限公司,,
美信,,
美光,MU,NASDAQ
美商安邁,,
美國安進,AMGN,NASDAQ
美國航空,,
耐克森,NKE,NYSE
聯合太平洋鐵路,,
聯合航空,,
聯想,0992.HK,HKEX
聯邦快遞,FDX,NYSE
舜宇光學,,
艾克爾,,
艾司摩爾,ASML,NASDAQ
艾睿電子,,
艾默生電氣公司,EMR,NYSE
英國英運物流集團,,
英特爾,INTC,NASDAQ
荷商嘉柏微電子材料,,
莫仕,,
華為,,Private
萊萃美,,
蓝宝科技,,
蔡司,,
藝卓,,
蘋果,AAPL,NASDAQ
西門子,SIEGY,OTC
記憶,,
諾華,NVS,NYSE
豐創,,
豐田合成,,
豪威科技,,
豪雅,,
賽峰,,
超微半導體,AMD,NASDAQ
趨勢科技,4704.T,TSE
輝瑞大藥廠,PFE,NYSE
輝達,NVDA,NASDAQ
近畿日本鉄道,,
迪卡儂,,Private
達梭系統,DASTY,OTC
達美航空,,
達能集團,DANOY,OTC
達飛海運集團,,
邁克菲,,
邁創,,
邁圖,,
邁威爾,MRVL,NASDAQ
酷柏,,
金士頓,,
金百利克拉克,,
鎧俠株式會社,,
鑽石鏈條,,
長電科技,,
開利,,
開拓重工,,
阿徹丹尼爾斯米德蘭公司(糧商跟加工廠),,
阿特拉斯科普柯集團,,
阿里巴巴集團,BABA,NYSE
隆利科技,,
雀巢,NSRGY,OTC
電子海灣,,
首爾半導體,,
高通,QCOM,NASDAQ
麥當勞,MCD,NYSE
默克集團,MRK,NYSE
